Particulars,Frequency,Unit,Year,Value
Agricultural Production Foodgrains Yield Uttaranchal,"Annual, Ending mar Of Each Year",kg/ha,2009,1715.0
Agricultural Production Foodgrains Yield West Bengal,"Annual, Ending mar Of Each Year",kg/ha,2009,2493.0
Agricultural Production Foodgrains Rice Area,"Annual, Ending mar Of Each Year",ha mn,2009,45.54
Agricultural Production Foodgrains Rice Volume,"Annual, Ending mar Of Each Year",Ton mn,2009,99.18
Agricultural Production Foodgrains Rice Yield,"Annual, Ending mar Of Each Year",kg/ha,2009,2178.0
Agricultural Production Foodgrains Rice Area Andhra Pradesh,"Annual, Ending mar Of Each Year",ha mn,2009,4.39
Agricultural Production Foodgrains Rice Area Assam,"Annual, Ending mar Of Each Year",ha mn,2009,2.48
Agricultural Production Foodgrains Rice Area Bihar,"Annual, Ending mar Of Each Year",ha mn,2009,3.5
Agricultural Production Foodgrains Rice Area Chhattisgarh,"Annual, Ending mar Of Each Year",ha mn,2009,3.73
Agricultural Production Foodgrains Rice Area Gujarat,"Annual, Ending mar Of Each Year",ha mn,2009,0.75
Agricultural Production Foodgrains Rice Area Haryana,"Annual, Ending mar Of Each Year",ha mn,2009,1.21
Agricultural Production Foodgrains Rice Area Jharkland,"Annual, Ending mar Of Each Year",ha mn,2009,1.68
Agricultural Production Foodgrains Rice Area Karnataka,"Annual, Ending mar Of Each Year",ha mn,2009,1.51
Agricultural Production Foodgrains Rice Area Kerala,"Annual, Ending mar Of Each Year",ha mn,2009,0.23
Agricultural Production Foodgrains Rice Area Madhya Pradesh,"Annual, Ending mar Of Each Year",ha mn,2009,1.68
Agricultural Production Foodgrains Rice Area Maharashtra,"Annual, Ending mar Of Each Year",ha mn,2009,1.52
Agricultural Production Foodgrains Rice Area Orissa,"Annual, Ending mar Of Each Year",ha mn,2009,4.45
Agricultural Production Foodgrains Rice Area Punjab,"Annual, Ending mar Of Each Year",ha mn,2009,2.74
Agricultural Production Foodgrains Rice Area Tamil Nadu,"Annual, Ending mar Of Each Year",ha mn,2009,1.93
Agricultural Production Foodgrains Rice Area Uttar Pradesh,"Annual, Ending mar Of Each Year",ha mn,2009,6.03
Agricultural Production Foodgrains Rice Area West Bengal,"Annual, Ending mar Of Each Year",ha mn,2009,5.94
Agricultural Production Foodgrains Rice Area Others,"Annual, Ending mar Of Each Year",ha mn,2009,1.75
Agricultural Production Foodgrains Rice Volume Andhra Pradesh,"Annual, Ending mar Of Each Year",Ton th,2009,14241.0
Agricultural Production Foodgrains Rice Volume Arunachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,2009,163.9
Agricultural Production Foodgrains Rice Volume Assam,"Annual, Ending mar Of Each Year",Ton th,2009,4008.5
Agricultural Production Foodgrains Rice Volume Bihar,"Annual, Ending mar Of Each Year",Ton th,2009,5590.3
Agricultural Production Foodgrains Rice Volume Chhattisgarh,"Annual, Ending mar Of Each Year",Ton th,2009,4391.8
Agricultural Production Foodgrains Rice Volume Goa,"Annual, Ending mar Of Each Year",Ton th,2009,123.3
Agricultural Production Foodgrains Rice Volume Gujarat,"Annual, Ending mar Of Each Year",Ton th,2009,1303.0
Agricultural Production Foodgrains Rice Volume Haryana,"Annual, Ending mar Of Each Year",Ton th,2009,3298.0
Agricultural Production Foodgrains Rice Volume Himachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,2009,118.3
Agricultural Production Foodgrains Rice Volume Jammu and Kashmir,"Annual, Ending mar Of Each Year",Ton th,2009,563.1
Agricultural Production Foodgrains Rice Volume Jharkhand,"Annual, Ending mar Of Each Year",Ton th,2009,3420.2
Agricultural Production Foodgrains Rice Volume Karnataka,"Annual, Ending mar Of Each Year",Ton th,2009,3802.0
Agricultural Production Foodgrains Rice Volume Kerala,"Annual, Ending mar Of Each Year",Ton th,2009,590.3
Agricultural Production Foodgrains Rice Volume Madhya Pradesh,"Annual, Ending mar Of Each Year",Ton th,2009,1559.7
Agricultural Production Foodgrains Rice Volume Maharashtra,"Annual, Ending mar Of Each Year",Ton th,2009,2284.0
Agricultural Production Foodgrains Rice Volume Manipur,"Annual, Ending mar Of Each Year",Ton th,2009,397.0
Agricultural Production Foodgrains Rice Volume Meghalaya,"Annual, Ending mar Of Each Year",Ton th,2009,203.9
Agricultural Production Foodgrains Rice Volume Mizoram,"Annual, Ending mar Of Each Year",Ton th,2009,46.0
Agricultural Production Foodgrains Rice Volume Nagaland,"Annual, Ending mar Of Each Year",Ton th,2009,345.1
Agricultural Production Foodgrains Rice Volume Orissa,"Annual, Ending mar Of Each Year",Ton th,2009,6812.7
Agricultural Production Foodgrains Rice Volume Punjab,"Annual, Ending mar Of Each Year",Ton th,2009,11000.0
Agricultural Production Foodgrains Rice Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton th,2009,241.1
Agricultural Production Foodgrains Rice Volume Sikkim,"Annual, Ending mar Of Each Year",Ton th,2009,21.7
Agricultural Production Foodgrains Rice Volume Tamil Nadu,"Annual, Ending mar Of Each Year",Ton th,2009,5182.7
Agricultural Production Foodgrains Rice Volume Tripura,"Annual, Ending mar Of Each Year",Ton th,2009,627.1
Agricultural Production Foodgrains Rice Volume Union Territories,"Annual, Ending mar Of Each Year",Ton th,2009,131.5
Agricultural Production Foodgrains Rice Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,2009,13097.0
Agricultural Production Foodgrains Rice Volume Uttaranchal,"Annual, Ending mar Of Each Year",Ton th,2009,582.0
Agricultural Production Foodgrains Rice Volume West Bengal,"Annual, Ending mar Of Each Year",Ton th,2009,15037.2
Agricultural Production Foodgrains Rice Yield Andhra Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2009,3246.0
Agricultural Production Foodgrains Rice Yield Assam,"Annual, Ending mar Of Each Year",kg/ha,2009,1614.0
Agricultural Production Foodgrains Rice Yield Bihar,"Annual, Ending mar Of Each Year",kg/ha,2009,1599.0
Agricultural Production Foodgrains Rice Yield Chhattisgarh,"Annual, Ending mar Of Each Year",kg/ha,2009,1176.0
Agricultural Production Foodgrains Rice Yield Gujarat,"Annual, Ending mar Of Each Year",kg/ha,2009,1744.0
Agricultural Production Foodgrains Rice Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,2009,2726.0
Agricultural Production Foodgrains Rice Yield Jharkland,"Annual, Ending mar Of Each Year",kg/ha,2009,2031.0
Agricultural Production Foodgrains Rice Yield Karnataka,"Annual, Ending mar Of Each Year",kg/ha,2009,2511.0
Agricultural Production Foodgrains Rice Yield Kerala,"Annual, Ending mar Of Each Year",kg/ha,2009,2519.0
Agricultural Production Foodgrains Rice Yield Madhya Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2009,927.0
Agricultural Production Foodgrains Rice Yield Maharashtra,"Annual, Ending mar Of Each Year",kg/ha,2009,1501.0
Agricultural Production Foodgrains Rice Yield Orissa,"Annual, Ending mar Of Each Year",kg/ha,2009,1529.0
Agricultural Production Foodgrains Rice Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,2009,4022.0
Agricultural Production Foodgrains Rice Yield Tamil Nadu,"Annual, Ending mar Of Each Year",kg/ha,2009,2683.0
Agricultural Production Foodgrains Rice Yield Uttar Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2009,2171.0
Agricultural Production Foodgrains Rice Yield West Bengal,"Annual, Ending mar Of Each Year",kg/ha,2009,2533.0
Agricultural Production Foodgrains Wheat Area,"Annual, Ending mar Of Each Year",ha mn,2009,27.75
Agricultural Production Foodgrains Wheat Volume,"Annual, Ending mar Of Each Year",Ton mn,2009,80.68
Agricultural Production Foodgrains Wheat Yield,"Annual, Ending mar Of Each Year",kg/ha,2009,2907.0
Agricultural Production Foodgrains Wheat Area Assam,"Annual, Ending mar Of Each Year",ha mn,2009,0.05
Agricultural Production Foodgrains Wheat Area Bihar,"Annual, Ending mar Of Each Year",ha mn,2009,2.16
Agricultural Production Foodgrains Wheat Area Gujarat,"Annual, Ending mar Of Each Year",ha mn,2009,1.09
Agricultural Production Foodgrains Wheat Area Haryana,"Annual, Ending mar Of Each Year",ha mn,2009,2.46
Agricultural Production Foodgrains Wheat Area Himachal Pradesh,"Annual, Ending mar Of Each Year",ha mn,2009,0.36
Agricultural Production Foodgrains Wheat Area Jammu and Kashmir,"Annual, Ending mar Of Each Year",ha mn,2009,0.28
Agricultural Production Foodgrains Wheat Area Jharkhand,"Annual, Ending mar Of Each Year",ha mn,2009,0.1
Agricultural Production Foodgrains Wheat Area Karnataka,"Annual, Ending mar Of Each Year",ha mn,2009,0.27
Agricultural Production Foodgrains Wheat Area Madhya Pradesh,"Annual, Ending mar Of Each Year",ha mn,2009,3.79
Agricultural Production Foodgrains Wheat Area Maharashtra,"Annual, Ending mar Of Each Year",ha mn,2009,1.02
Agricultural Production Foodgrains Wheat Area Punjab,"Annual, Ending mar Of Each Year",ha mn,2009,3.53
Agricultural Production Foodgrains Wheat Area Rajasthan,"Annual, Ending mar Of Each Year",ha mn,2009,2.29
Agricultural Production Foodgrains Wheat Area Uttar Pradesh,"Annual, Ending mar Of Each Year",ha mn,2009,9.51
Agricultural Production Foodgrains Wheat Area Uttaranchal,"Annual, Ending mar Of Each Year",ha mn,2009,0.4
Agricultural Production Foodgrains Wheat Area West Bengal,"Annual, Ending mar Of Each Year",ha mn,2009,0.31
Agricultural Production Foodgrains Wheat Area Others,"Annual, Ending mar Of Each Year",ha mn,2009,0.14
Agricultural Production Foodgrains Wheat Volume Arunachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,2009,5.2
Agricultural Production Foodgrains Wheat Volume Assam,"Annual, Ending mar Of Each Year",Ton th,2009,54.6
Agricultural Production Foodgrains Wheat Volume Bihar,"Annual, Ending mar Of Each Year",Ton th,2009,4410.0
Agricultural Production Foodgrains Wheat Volume Chhattisgarh,"Annual, Ending mar Of Each Year",Ton th,2009,92.5
Agricultural Production Foodgrains Wheat Volume Gujarat,"Annual, Ending mar Of Each Year",Ton th,2009,2593.0
Agricultural Production Foodgrains Wheat Volume Haryana,"Annual, Ending mar Of Each Year",Ton th,2009,10808.2
Agricultural Production Foodgrains Wheat Volume Himachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,2009,547.3
Agricultural Production Foodgrains Wheat Volume Jammu and Kashmir,"Annual, Ending mar Of Each Year",Ton th,2009,483.6
Agricultural Production Foodgrains Wheat Volume Jharkhand,"Annual, Ending mar Of Each Year",Ton th,2009,153.9
Agricultural Production Foodgrains Wheat Volume Karnataka,"Annual, Ending mar Of Each Year",Ton th,2009,247.0
Agricultural Production Foodgrains Wheat Volume Madhya Pradesh,"Annual, Ending mar Of Each Year",Ton th,2009,6521.9
Agricultural Production Foodgrains Wheat Volume Maharashtra,"Annual, Ending mar Of Each Year",Ton th,2009,1516.0
Agricultural Production Foodgrains Wheat Volume Meghalaya,"Annual, Ending mar Of Each Year",Ton th,2009,0.7
Agricultural Production Foodgrains Wheat Volume Nagaland,"Annual, Ending mar Of Each Year",Ton th,2009,2.1
Agricultural Production Foodgrains Wheat Volume Orissa,"Annual, Ending mar Of Each Year",Ton th,2009,7.4
Agricultural Production Foodgrains Wheat Volume Punjab,"Annual, Ending mar Of Each Year",Ton th,2009,15733.0
Agricultural Production Foodgrains Wheat Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton th,2009,7287.0
Agricultural Production Foodgrains Wheat Volume Sikkim,"Annual, Ending mar Of Each Year",Ton th,2009,7.8
Agricultural Production Foodgrains Wheat Volume Tripura,"Annual, Ending mar Of Each Year",Ton th,2009,1.2
Agricultural Production Foodgrains Wheat Volume Union Territories,"Annual, Ending mar Of Each Year",Ton th,2009,75.5
Agricultural Production Foodgrains Wheat Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,2009,28554.0
Agricultural Production Foodgrains Wheat Volume Uttaranchal,"Annual, Ending mar Of Each Year",Ton th,2009,797.0
Agricultural Production Foodgrains Wheat Volume West Bengal,"Annual, Ending mar Of Each Year",Ton th,2009,764.5
Agricultural Production Foodgrains Wheat Yield Assam,"Annual, Ending mar Of Each Year",kg/ha,2009,1090.0
Agricultural Production Foodgrains Wheat Yield Bihar,"Annual, Ending mar Of Each Year",kg/ha,2009,2043.0
Agricultural Production Foodgrains Wheat Yield Gujarat,"Annual, Ending mar Of Each Year",kg/ha,2009,2377.0
Agricultural Production Foodgrains Wheat Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,2009,4390.0
Agricultural Production Foodgrains Wheat Yield Himachal Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2009,1520.0
Agricultural Production Foodgrains Wheat Yield Jammu and Kashmir,"Annual, Ending mar Of Each Year",kg/ha,2009,1735.0
Agricultural Production Foodgrains Wheat Yield Jharkhand,"Annual, Ending mar Of Each Year",kg/ha,2009,1541.0
Agricultural Production Foodgrains Wheat Yield Karnataka,"Annual, Ending mar Of Each Year",kg/ha,2009,918.0
Agricultural Production Foodgrains Wheat Yield Madhya Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2009,1723.0
Agricultural Production Foodgrains Wheat Yield Maharashtra,"Annual, Ending mar Of Each Year",kg/ha,2009,1483.0
Agricultural Production Foodgrains Wheat Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,2009,4462.0
Agricultural Production Foodgrains Wheat Yield Rajasthan,"Annual, Ending mar Of Each Year",kg/ha,2009,3175.0
Agricultural Production Foodgrains Wheat Yield Uttar Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2009,3002.0
Agricultural Production Foodgrains Wheat Yield Uttaranchal,"Annual, Ending mar Of Each Year",kg/ha,2009,2003.0
Agricultural Production Foodgrains Wheat Yield West Bengal,"Annual, Ending mar Of Each Year",kg/ha,2009,2490.0
Agricultural Production Foodgrains Coarse Cereals Area,"Annual, Ending mar Of Each Year",ha mn,2009,27.45
Agricultural Production Foodgrains Coarse Cereals Volume,"Annual, Ending mar Of Each Year",Ton mn,2009,40.04
Agricultural Production Foodgrains Coarse Cereals Yield,"Annual, Ending mar Of Each Year",kg/ha,2009,1459.0
Agricultural Production Foodgrains Coarse Cereals Area Andhra Pradesh,"Annual, Ending mar Of Each Year",ha mn,2009,1.27
Agricultural Production Foodgrains Coarse Cereals Area Bihar,"Annual, Ending mar Of Each Year",ha mn,2009,0.68
Agricultural Production Foodgrains Coarse Cereals Area Chhattisgarh,"Annual, Ending mar Of Each Year",ha mn,2009,0.28
Agricultural Production Foodgrains Coarse Cereals Area Gujarat,"Annual, Ending mar Of Each Year",ha mn,2009,1.44
Agricultural Production Foodgrains Coarse Cereals Area Haryana,"Annual, Ending mar Of Each Year",ha mn,2009,0.76
Agricultural Production Foodgrains Coarse Cereals Area Himachal Pradesh,"Annual, Ending mar Of Each Year",ha mn,2009,0.33
Agricultural Production Foodgrains Coarse Cereals Area Jammu and Kashmir,"Annual, Ending mar Of Each Year",ha mn,2009,0.36
Agricultural Production Foodgrains Coarse Cereals Area Jharkhand,"Annual, Ending mar Of Each Year",ha mn,2009,0.26
Agricultural Production Foodgrains Coarse Cereals Area Karnataka,"Annual, Ending mar Of Each Year",ha mn,2009,3.59
Agricultural Production Foodgrains Coarse Cereals Area Madhya Pradesh,"Annual, Ending mar Of Each Year",ha mn,2009,1.89
Agricultural Production Foodgrains Coarse Cereals Area Maharashtra,"Annual, Ending mar Of Each Year",ha mn,2009,5.79
Agricultural Production Foodgrains Coarse Cereals Area Orissa,"Annual, Ending mar Of Each Year",ha mn,2009,0.16
Agricultural Production Foodgrains Coarse Cereals Area Punjab,"Annual, Ending mar Of Each Year",ha mn,2009,0.18
Agricultural Production Foodgrains Coarse Cereals Area Rajasthan,"Annual, Ending mar Of Each Year",ha mn,2009,7.1
Agricultural Production Foodgrains Coarse Cereals Area Tamil Nadu,"Annual, Ending mar Of Each Year",ha mn,2009,0.72
Agricultural Production Foodgrains Coarse Cereals Area Uttar Pradesh,"Annual, Ending mar Of Each Year",ha mn,2009,1.99
Agricultural Production Foodgrains Coarse Cereals Area Uttaranchal,"Annual, Ending mar Of Each Year",ha mn,2009,0.27
Agricultural Production Foodgrains Coarse Cereals Area West Bengal,"Annual, Ending mar Of Each Year",ha mn,2009,0.11
Agricultural Production Foodgrains Coarse Cereals Area Others,"Annual, Ending mar Of Each Year",ha mn,2009,0.26
Agricultural Production Foodgrains Coarse Cereals Volume Andhra Pradesh,"Annual, Ending mar Of Each Year",Ton th,2009,4716.0
Agricultural Production Foodgrains Coarse Cereals Volume Arunachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,2009,77.7
Agricultural Production Foodgrains Coarse Cereals Volume Assam,"Annual, Ending mar Of Each Year",Ton th,2009,15.4
Agricultural Production Foodgrains Coarse Cereals Volume Bihar,"Annual, Ending mar Of Each Year",Ton th,2009,1751.3
Agricultural Production Foodgrains Coarse Cereals Volume Chhattisgarh,"Annual, Ending mar Of Each Year",Ton th,2009,184.4
Agricultural Production Foodgrains Coarse Cereals Volume Goa,"Annual, Ending mar Of Each Year",Ton th,2009,0.8
Agricultural Production Foodgrains Coarse Cereals Volume Gujarat,"Annual, Ending mar Of Each Year",Ton th,2009,1976.0
Agricultural Production Foodgrains Coarse Cereals Volume Haryana,"Annual, Ending mar Of Each Year",Ton th,2009,1329.4
Agricultural Production Foodgrains Coarse Cereals Volume Himachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,2009,712.1
Agricultural Production Foodgrains Coarse Cereals Volume Jammu and Kashmir,"Annual, Ending mar Of Each Year",Ton th,2009,660.4
Agricultural Production Foodgrains Coarse Cereals Volume Jharkhand,"Annual, Ending mar Of Each Year",Ton th,2009,333.9
Agricultural Production Foodgrains Coarse Cereals Volume Karnataka,"Annual, Ending mar Of Each Year",Ton th,2009,6254.0
Agricultural Production Foodgrains Coarse Cereals Volume Kerala,"Annual, Ending mar Of Each Year",Ton th,2009,1.7
Agricultural Production Foodgrains Coarse Cereals Volume Madhya Pradesh,"Annual, Ending mar Of Each Year",Ton th,2009,2149.9
Agricultural Production Foodgrains Coarse Cereals Volume Maharashtra,"Annual, Ending mar Of Each Year",Ton th,2009,5971.6
Agricultural Production Foodgrains Coarse Cereals Volume Manipur,"Annual, Ending mar Of Each Year",Ton th,2009,11.5
Agricultural Production Foodgrains Coarse Cereals Volume Meghalaya,"Annual, Ending mar Of Each Year",Ton th,2009,27.8
Agricultural Production Foodgrains Coarse Cereals Volume Mizoram,"Annual, Ending mar Of Each Year",Ton th,2009,9.3
Agricultural Production Foodgrains Coarse Cereals Volume Nagaland,"Annual, Ending mar Of Each Year",Ton th,2009,127.3
Agricultural Production Foodgrains Coarse Cereals Volume Orissa,"Annual, Ending mar Of Each Year",Ton th,2009,191.7
Agricultural Production Foodgrains Coarse Cereals Volume Punjab,"Annual, Ending mar Of Each Year",Ton th,2009,575.1
Agricultural Production Foodgrains Coarse Cereals Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton th,2009,7325.7
Agricultural Production Foodgrains Coarse Cereals Volume Sikkim,"Annual, Ending mar Of Each Year",Ton th,2009,66.2
Agricultural Production Foodgrains Coarse Cereals Volume Tamil Nadu,"Annual, Ending mar Of Each Year",Ton th,2009,1755.1
Agricultural Production Foodgrains Coarse Cereals Volume Tripura,"Annual, Ending mar Of Each Year",Ton th,2009,2.0
Agricultural Production Foodgrains Coarse Cereals Volume Union Territories,"Annual, Ending mar Of Each Year",Ton th,2009,19.0
Agricultural Production Foodgrains Coarse Cereals Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,2009,3080.2
Agricultural Production Foodgrains Coarse Cereals Volume Uttaranchal,"Annual, Ending mar Of Each Year",Ton th,2009,347.0
Agricultural Production Foodgrains Coarse Cereals Volume West Bengal,"Annual, Ending mar Of Each Year",Ton th,2009,365.4
Agricultural Production Foodgrains Coarse Cereals Yield Andhra Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2009,3713.0
Agricultural Production Foodgrains Coarse Cereals Yield Bihar,"Annual, Ending mar Of Each Year",kg/ha,2009,2577.0
Agricultural Production Foodgrains Coarse Cereals Yield Chhattisgarh,"Annual, Ending mar Of Each Year",kg/ha,2009,657.0
Agricultural Production Foodgrains Coarse Cereals Yield Gujarat,"Annual, Ending mar Of Each Year",kg/ha,2009,1371.0
Agricultural Production Foodgrains Coarse Cereals Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,2009,1760.0
Agricultural Production Foodgrains Coarse Cereals Yield Himachal Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2009,2166.0
Agricultural Production Foodgrains Coarse Cereals Yield Jammu and Kashmir,"Annual, Ending mar Of Each Year",kg/ha,2009,1819.0
Agricultural Production Foodgrains Coarse Cereals Yield Jharkhand,"Annual, Ending mar Of Each Year",kg/ha,2009,1266.0
Agricultural Production Foodgrains Coarse Cereals Yield Karnataka,"Annual, Ending mar Of Each Year",kg/ha,2009,1742.0
Agricultural Production Foodgrains Coarse Cereals Yield Madhya Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2009,1140.0
Agricultural Production Foodgrains Coarse Cereals Yield Maharashtra,"Annual, Ending mar Of Each Year",kg/ha,2009,1031.0
Agricultural Production Foodgrains Coarse Cereals Yield Orissa,"Annual, Ending mar Of Each Year",kg/ha,2009,1180.0
Agricultural Production Foodgrains Coarse Cereals Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,2009,3284.0
Agricultural Production Foodgrains Coarse Cereals Yield Rajasthan,"Annual, Ending mar Of Each Year",kg/ha,2009,1031.0
Agricultural Production Foodgrains Coarse Cereals Yield Tamil Nadu,"Annual, Ending mar Of Each Year",kg/ha,2009,2424.0
Agricultural Production Foodgrains Coarse Cereals Yield Uttar Pradesh,"Annual, Ending mar Of Each Year",kg/ha,2009,1550.0
Agricultural Production Foodgrains Coarse Cereals Yield Uttaranchal,"Annual, Ending mar Of Each Year",kg/ha,2009,1280.0
Agricultural Production Foodgrains Coarse Cereals Yield West Bengal,"Annual, Ending mar Of Each Year",kg/ha,2009,3319.0
Agricultural Production Foodgrains,"Annual, Ending mar Of Each Year",Ton mn,2010,218.107372
Agricultural Production Foodgrains Kharif,"Annual, Ending mar Of Each Year",Ton mn,2010,103.954032
Agricultural Production Foodgrains Rabi,"Annual, Ending mar Of Each Year",Ton mn,2010,114.15334
Agricultural Production Foodgrains Rice,"Annual, Ending mar Of Each Year",Ton mn,2010,89.092901
Agricultural Production Foodgrains Rice Kharif,"Annual, Ending mar Of Each Year",Ton mn,2010,75.91651
Agricultural Production Foodgrains Rice Rabi,"Annual, Ending mar Of Each Year",Ton mn,2010,13.176391
Agricultural Production Foodgrains Wheat Rabi,"Annual, Ending mar Of Each Year",Ton mn,2010,80.803558
Agricultural Production Foodgrains Jowar,"Annual, Ending mar Of Each Year",Ton mn,2010,6.698203
Agricultural Production Foodgrains Jowar Kharif,"Annual, Ending mar Of Each Year",Ton mn,2010,2.763233
Agricultural Production Foodgrains Jowar Rabi,"Annual, Ending mar Of Each Year",Ton mn,2010,3.93497
Agricultural Production Foodgrains Bajra Kharif,"Annual, Ending mar Of Each Year",Ton mn,2010,6.506412
Agricultural Production Foodgrains Maize,"Annual, Ending mar Of Each Year",Ton mn,2010,16.719467
Agricultural Production Foodgrains Maize Kharif,"Annual, Ending mar Of Each Year",Ton mn,2010,12.293291
Agricultural Production Foodgrains Maize Rabi,"Annual, Ending mar Of Each Year",Ton mn,2010,4.426176
Agricultural Production Foodgrains Ragi Kharif,"Annual, Ending mar Of Each Year",Ton mn,2010,1.888462
Agricultural Production Foodgrains Small Millets Kharif,"Annual, Ending mar Of Each Year",Ton mn,2010,0.381922
Agricultural Production Foodgrains Barley Rabi,"Annual, Ending mar Of Each Year",Ton mn,2010,1.354658
Agricultural Production Foodgrains Coarse Cereals,"Annual, Ending mar Of Each Year",Ton mn,2010,33.549124
Agricultural Production Foodgrains Coarse Cereals Kharif,"Annual, Ending mar Of Each Year",Ton mn,2010,23.83332
Agricultural Production Foodgrains Coarse Cereals Rabi,"Annual, Ending mar Of Each Year",Ton mn,2010,9.715804
Agricultural Production Foodgrains Cereals,"Annual, Ending mar Of Each Year",Ton mn,2010,203.445583
Agricultural Production Foodgrains Cereals Kharif,"Annual, Ending mar Of Each Year",Ton mn,2010,99.74983
Agricultural Production Foodgrains Cereals Rabi,"Annual, Ending mar Of Each Year",Ton mn,2010,103.695753
Agricultural Production Foodgrains Tur Kharif,"Annual, Ending mar Of Each Year",Ton mn,2010,2.464552
Agricultural Production Foodgrains Other Kharif Pulses Kharif,"Annual, Ending mar Of Each Year",Ton mn,2010,0.48519393
Agricultural Production Foodgrains Gram Rabi,"Annual, Ending mar Of Each Year",Ton mn,2010,7.475903
Agricultural Production Foodgrains Other Kharif Pulses Rabi,"Annual, Ending mar Of Each Year",Ton mn,2010,2.30803757
Agricultural Production Foodgrains Pulses,"Annual, Ending mar Of Each Year",Ton mn,2010,14.661789
Agricultural Production Foodgrains Pulses Kharif,"Annual, Ending mar Of Each Year",Ton mn,2010,4.204202
Agricultural Production Foodgrains Pulses Rabi,"Annual, Ending mar Of Each Year",Ton mn,2010,10.457587
Agricultural Production Oilseeds,"Annual, Ending mar Of Each Year",Ton mn,2010,24.881624
Agricultural Production Oilseeds Kharif,"Annual, Ending mar Of Each Year",Ton mn,2010,15.728429
Agricultural Production Oilseeds Rabi,"Annual, Ending mar Of Each Year",Ton mn,2010,9.153195
Agricultural Production Oilseeds Groundnut,"Annual, Ending mar Of Each Year",Ton mn,2010,5.428493
Agricultural Production Oilseeds Groundnut Kharif,"Annual, Ending mar Of Each Year",Ton mn,2010,3.852216
Agricultural Production Oilseeds Groundnut Rabi,"Annual, Ending mar Of Each Year",Ton mn,2010,1.576277
Agricultural Production Oilseeds Castorseed Kharif,"Annual, Ending mar Of Each Year",Ton mn,2010,1.008951
Agricultural Production Oilseeds Sesamun Kharif,"Annual, Ending mar Of Each Year",Ton mn,2010,0.588419
Agricultural Production Oilseeds Nigerseed Kharif,"Annual, Ending mar Of Each Year",Ton mn,2010,0.099936
Agricultural Production Oilseeds Rapeseed and Mustard Rabi,"Annual, Ending mar Of Each Year",Ton mn,2010,6.608079
Agricultural Production Oilseeds Linseed Rabi,"Annual, Ending mar Of Each Year",Ton mn,2010,0.153703
Agricultural Production Oilseeds Safflower Rabi,"Annual, Ending mar Of Each Year",Ton mn,2010,0.178822
Agricultural Production Oilseeds Sunflower,"Annual, Ending mar Of Each Year",Ton mn,2010,0.850744
Agricultural Production Oilseeds Sunflower Kharif,"Annual, Ending mar Of Each Year",Ton mn,2010,0.21443
Agricultural Production Oilseeds Sunflower Rabi,"Annual, Ending mar Of Each Year",Ton mn,2010,0.636314
Agricultural Production Oilseeds Soyabean Kharif,"Annual, Ending mar Of Each Year",Ton mn,2010,9.964477
Agricultural Production Commercial Crops Cotton,"Annual, Ending mar Of Each Year",Bale mn,2010,24.021803
Agricultural Production Commercial Crops Jute,"Annual, Ending mar Of Each Year",Bale mn,2010,11.230374
Agricultural Production Commercial Crops Mesta,"Annual, Ending mar Of Each Year",Bale mn,2010,0.587028
Agricultural Production Commercial Crops Jute and Mesta,"Annual, Ending mar Of Each Year",Bale mn,2010,11.817402
Agricultural Production Commercial Crops Sugarcane,"Annual, Ending mar Of Each Year",Ton mn,2010,292.301617
Agricultural Production Major Crops Target Rice,"Annual, Ending mar Of Each Year",Ton mn,2010,100.5
Agricultural Production Major Crops Target Wheat,"Annual, Ending mar Of Each Year",Ton mn,2010,79.0
Agricultural Production Major Crops Target Coarse Cereals,"Annual, Ending mar Of Each Year",Ton mn,2010,43.1
Agricultural Production Major Crops Target Pulses,"Annual, Ending mar Of Each Year",Ton mn,2010,16.5
Agricultural Production Major Crops Target Foodgrains,"Annual, Ending mar Of Each Year",Ton mn,2010,239.1
